word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_2.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,text.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thanks.started,text_3.started,text_3.stopped,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0021130999084562063,0.0070238999323919415,0.0070238999323919415,3.8121456999797374,space,3.5699204999255016,None,,,,,,,,,,,,,,,,20,001,2025-08-24_22h58.56.757,stroop task final,,2025.1.1,59.71775003219621,2025-08-24 22h59.08.524866 +0530,
RED,blue,I,b,0,0,0,b,1,5.688462999998592,None,0,0,0,1,3.8518639999674633,,,,,,,,,3.8447851999662817,3.8518639999674633,4.3179033999331295,4.3179033999331295,4.3179033999331295,8.817793299909681,10.019305099966004,b,1,5.688462999998592,None,,,,,20,001,2025-08-24_22h58.56.757,stroop task final,,2025.1.1,59.71775003219621,2025-08-24 22h59.08.524866 +0530,
RED,red,c,r,1,1,0,r,1,1.415877600084059,None,0,1,1,0,10.035589399980381,,,,,,,,,10.020376399974339,10.035589399980381,10.535828499938361,10.535828499938361,10.535828499938361,,11.96831469994504,r,1,1.415877600084059,None,,,,,20,001,2025-08-24_22h58.56.757,stroop task final,,2025.1.1,59.71775003219621,2025-08-24 22h59.08.524866 +0530,
BLUE,blue,c,b,2,2,0,b,1,0.7704289000248536,None,0,2,2,3,11.98443369998131,,,,,,,,,11.978039599955082,11.98443369998131,12.467670399928465,12.467670399928465,12.467670399928465,,13.251639499911107,b,1,0.7704289000248536,None,,,,,20,001,2025-08-24_22h58.56.757,stroop task final,,2025.1.1,59.71775003219621,2025-08-24 22h59.08.524866 +0530,
BLUE,red,I,r,3,3,0,r,1,1.3003952000290155,None,0,3,3,2,13.268377500004135,,,,,,,,,13.252306399983354,13.268377500004135,13.751069399993867,13.751069399993867,13.751069399993867,,15.068376999930479,r,1,1.3003952000290155,None,,,,,20,001,2025-08-24_22h58.56.757,stroop task final,,2025.1.1,59.71775003219621,2025-08-24 22h59.08.524866 +0530,
BLUE,blue,c,b,4,0,1,b,1,0.5444048999343067,None,1,0,4,3,15.084975000005215,,,,,,,,,15.069467999972403,15.084975000005215,15.56775069993455,15.56775069993455,15.56775069993455,,16.11832999996841,b,1,0.5444048999343067,None,,,,,20,001,2025-08-24_22h58.56.757,stroop task final,,2025.1.1,59.71775003219621,2025-08-24 22h59.08.524866 +0530,
RED,red,c,r,5,1,1,r,1,0.7254389000590891,None,1,1,5,0,16.134788399911486,,,,,,,,,16.122033099993132,16.134788399911486,16.61775829992257,16.61775829992257,16.61775829992257,,17.35180359997321,r,1,0.7254389000590891,None,,,,,20,001,2025-08-24_22h58.56.757,stroop task final,,2025.1.1,59.71775003219621,2025-08-24 22h59.08.524866 +0530,
BLUE,red,I,r,6,2,1,r,1,0.5792480999371037,None,1,2,6,2,17.36845439998433,,,,,,,,,17.356046399916522,17.36845439998433,17.851196700008586,17.851196700008586,17.851196700008586,,18.434821099974215,r,1,0.5792480999371037,None,,,,,20,001,2025-08-24_22h58.56.757,stroop task final,,2025.1.1,59.71775003219621,2025-08-24 22h59.08.524866 +0530,
RED,blue,I,b,7,3,1,b,1,0.6188406000146642,None,1,3,7,1,18.451223599957302,,,,,,,,,18.437629399937578,18.451223599957302,18.934623199980706,18.934623199980706,18.934623199980706,,19.56837839994114,b,1,0.6188406000146642,None,,,,,20,001,2025-08-24_22h58.56.757,stroop task final,,2025.1.1,59.71775003219621,2025-08-24 22h59.08.524866 +0530,
BLUE,red,I,r,8,0,2,r,1,2.0090016999747604,None,2,0,8,2,19.58442450000439,,,,,,,,,19.571119499974884,19.58442450000439,20.067684400011785,20.067684400011785,20.067684400011785,,22.08509209996555,r,1,2.0090016999747604,None,,,,,20,001,2025-08-24_22h58.56.757,stroop task final,,2025.1.1,59.71775003219621,2025-08-24 22h59.08.524866 +0530,
