word	colour	stim_condition	correct_res	thisN	thisTrialN	thisRepN	key_resp.keys	key_resp.corr	key_resp.rt	key_resp.duration	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	thisRow.t	notes	Instruction.started	text_2.started	key_resp_2.started	Instruction.stopped	key_resp_2.keys	key_resp_2.rt	key_resp_2.duration	trial.started	fixation.started	fixation.stopped	text.started	key_resp.started	trial.stopped	trials.key_resp.keys	trials.key_resp.corr	trials.key_resp.rt	trials.key_resp.duration	Thanks.started	text_3.started	text_3.stopped	Thanks.stopped	participant	session	date	expName	expVersion	psychopyVersion	frameRate	expStart					Incongruent	Congruent 
																	0.0019992	0.0050973	0.0050973	0.7898303	space	0.7676851	None															40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530					0.7475071	1.1010643
BLUE	blue	c	b	0	0	0	b	1	1.1010643	None	0	0	0	3	0.8136021									0.8072422	0.8136021	1.2997474	1.2997474	1.2997474	2.4171654	b	1	1.1010643	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530					0.5797667	0.4567899
RED	blue	I	b	1	1	0	b	1	0.7475071	None	0	1	1	1	2.4330183									2.4217131	2.4330183	2.9163439	2.9163439	2.9163439	3.6667977	b	1	0.7475071	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530					0.9821248	0.453382
BLUE	red	I	r	2	2	0	r	1	0.5797667	None	0	2	2	2	3.683129									3.6704344	3.683129	4.1664714	4.1664714	4.1664714	4.7500811	r	1	0.5797667	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530					0.5965099	0.5161888
RED	red	c	r	3	3	0	r	1	0.4567899	None	0	3	3	0	4.7663722									4.7533293	4.7663722	5.2498985	5.2498985	5.2498985	5.716803	r	1	0.4567899	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530					0.5077224	0.585495
RED	blue	I	b	4	0	1	b	1	0.9821248	None	1	0	4	1	5.732882									5.7174321	5.732882	6.2165038	6.2165038	6.2165038	7.2001812	b	1	0.9821248	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530					0.6690015	0.5041625
BLUE	blue	c	b	5	1	1	b	1	0.453382	None	1	1	5	3	7.2163719									7.2039993	7.2163719	7.6997815	7.6997815	7.6997815	8.1666581	b	1	0.453382	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530					0.8365816	0.5590386
BLUE	red	I	r	6	2	1	b	0	0.5965099	None	1	2	6	2	8.1828518									8.1673153	8.1828518	8.6663411	8.6663411	8.6663411	9.2667756	b	0	0.5965099	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530					0.4429004	0.5517058
RED	red	c	r	7	3	1	r	1	0.5161888	None	1	3	7	0	9.2830625									9.2702913	9.2830625	9.7662534	9.7662534	9.7662534	10.2835914	r	1	0.5161888	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530					0.6668485	0.5794897
RED	blue	I	b	8	0	2	b	1	0.5077224	None	2	0	8	1	10.2998793									10.2841953	10.2998793	10.7830159	10.7830159	10.7830159	11.3004842	b	1	0.5077224	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530					0.5279397	0.7421186
BLUE	red	I	r	9	1	2	r	1	0.6690015	None	2	1	9	2	11.31636									11.3040035	11.31636	11.7995948	11.7995948	11.7995948	12.4833792	r	1	0.6690015	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530					0.48415	0.4544467
BLUE	blue	c	b	10	2	2	b	1	0.585495	None	2	2	10	3	12.4997007									12.4840723	12.4997007	12.9831007	12.9831007	12.9831007	13.5834075	b	1	0.585495	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530					0.3675926	0.4018485
RED	red	c	r	11	3	2	r	1	0.5041625	None	2	3	11	0	13.5996617									13.5867677	13.5996617	14.0829472	14.0829472	14.0829472	14.6004191	r	1	0.5041625	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530					0.4579596	0.6356966
BLUE	red	I	r	12	0	3	r	1	0.8365816	None	3	0	12	2	14.6164305									14.6042942	14.6164305	15.0998179	15.0998179	15.0998179	15.9507958	r	1	0.8365816	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530					0.4930118	0.3941986
RED	blue	I	b	13	1	3	b	1	0.4429004	None	3	1	13	1	15.9665577									15.956795	15.9665577	16.4664097	16.4664097	16.4664097	16.9183296	b	1	0.4429004	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530					0.4434046	0.3062005
RED	red	c	r	14	2	3	r	1	0.5590386	None	3	2	14	0	16.9330242									16.9196878	16.9330242	17.4329869	17.4329869	17.4329869	18.0008229	r	1	0.5590386	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530					0.4832532	0.4656169
BLUE	blue	c	b	15	3	3	b	1	0.5517058	None	3	3	15	3	18.0165044									18.0058408	18.0165044	18.5164657	18.5164657	18.5164657	19.0834037	b	1	0.5517058	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530					0.371494	0.5199474
RED	red	c	r	16	0	4	r	1	0.5794897	None	4	0	16	0	19.0999984									19.0865358	19.0999984	19.5829226	19.5829226	19.5829226	20.1671304	r	1	0.5794897	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530					0.5867997	0.4782965
BLUE	blue	c	b	17	1	4	b	1	0.7421186	None	4	1	17	3	20.1829637									20.1728236	20.1829637	20.666221	20.666221	20.666221	21.4169944	b	1	0.7421186	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530					0.7719156	0.4727848
RED	blue	I	b	18	2	4	b	1	0.6668485	None	4	2	18	1	21.4329587									21.4200215	21.4329587	21.9163283	21.9163283	21.9163283	22.6002599	b	1	0.6668485	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530					1.1247247	0.4912872
BLUE	red	I	r	19	3	4	r	1	0.5279397	None	4	3	19	2	22.6161859									22.603897	22.6161859	23.0995024	23.0995024	23.0995024	23.6335595	r	1	0.5279397	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530						
RED	blue	I	b	20	0	5	b	1	0.48415	None	5	0	20	1	23.6495554									23.6376399	23.6495554	24.1329343	24.1329343	24.1329343	24.6338968	b	1	0.48415	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530						
BLUE	red	I	r	21	1	5	r	1	0.3675926	None	5	1	21	2	24.6495877									24.6375163	24.6495877	25.1328599	25.1328599	25.1328599	25.5168377	r	1	0.3675926	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530						
RED	red	c	r	22	2	5	r	1	0.4544467	None	5	2	22	0	25.5338238									25.5194872	25.5338238	26.0162835	26.0162835	26.0162835	26.4833967	r	1	0.4544467	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530						
BLUE	blue	c	b	23	3	5	b	1	0.4018485	None	5	3	23	3	26.4998381									26.48666	26.4998381	26.9828677	26.9828677	26.9828677	27.4001925	b	1	0.4018485	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530						
RED	red	c	r	24	0	6	r	1	0.6356966	None	6	0	24	0	27.4162031									27.4025031	27.4162031	27.8994541	27.8994541	27.8994541	28.5500641	r	1	0.6356966	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530						
BLUE	red	I	r	25	1	6	r	1	0.4579596	None	6	1	25	2	28.5663803									28.5531836	28.5663803	29.0495914	29.0495914	29.0495914	29.5168879	r	1	0.4579596	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530						
RED	blue	I	b	26	2	6	b	1	0.4930118	None	6	2	26	1	29.5329316									29.5197324	29.5329316	30.0162624	30.0162624	30.0162624	30.5168301	b	1	0.4930118	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530						
BLUE	blue	c	b	27	3	6	b	1	0.3941986	None	6	3	27	3	30.5330057									30.5198097	30.5330057	31.016292	31.016292	31.016292	31.4171709	b	1	0.3941986	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530						
BLUE	blue	c	b	28	0	7	b	1	0.3062005	None	7	0	28	3	31.433033									31.4183493	31.433033	31.9955433	31.9955433	31.9955433	32.3169615	b	1	0.3062005	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530						
RED	red	c	r	29	1	7	r	1	0.4656169	None	7	1	29	0	32.3330332									32.3207349	32.3330332	32.8162475	32.8162475	32.8162475	33.283513	r	1	0.4656169	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530						
BLUE	red	I	r	30	2	7	r	1	0.4434046	None	7	2	30	2	33.2999155									33.2857524	33.2999155	33.7829804	33.7829804	33.7829804	34.233272	r	1	0.4434046	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530						
RED	blue	I	b	31	3	7	b	1	0.4832532	None	7	3	31	1	34.2496831									34.2361653	34.2496831	34.7330444	34.7330444	34.7330444	35.2173594	b	1	0.4832532	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530						
RED	blue	I	b	32	0	8	b	1	0.371494	None	8	0	32	1	35.2331189									35.218458	35.2331189	35.7163101	35.7163101	35.7163101	36.1004245	b	1	0.371494	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530						
RED	red	c	r	33	1	8	r	1	0.5199474	None	8	1	33	0	36.1163869									36.1011812	36.1163869	36.599885	36.599885	36.599885	37.1331993	r	1	0.5199474	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530						
BLUE	red	I	r	34	2	8	r	1	0.5867997	None	8	2	34	2	37.1496216									37.1359589	37.1496216	37.6331042	37.6331042	37.6331042	38.2333385	r	1	0.5867997	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530						
BLUE	blue	c	b	35	3	8	b	1	0.4782965	None	8	3	35	3	38.2499293									38.2339313	38.2499293	38.7332019	38.7332019	38.7332019	39.2171929	b	1	0.4782965	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530						
BLUE	red	I	r	36	0	9	b	0	0.7719156	None	9	0	36	2	39.2330376									39.2178188	39.2330376	39.7164136	39.7164136	39.7164136	40.5002615	b	0	0.7719156	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530						
RED	blue	I	b	37	1	9	b	1	1.1247247	None	9	1	37	1	40.5164654									40.5030724	40.5164654	40.9997637	40.9997637	40.9997637	42.1334373	b	1	1.1247247	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530						
BLUE	blue	c	b	38	2	9	b	1	0.4727848	None	9	2	38	3	42.1499997									42.1387374	42.1499997	42.6330811	42.6330811	42.6330811	43.1168598	b	1	0.4727848	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530						
RED	red	c	r	39	3	9	r	1	0.4912872	None	9	3	39	0	43.1331089									43.1196531	43.1331089	43.6161231	43.6161231	43.6161231	44.1167595	r	1	0.4912872	None					40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530						
																																		44.1169789	44.1329114	45.1331131	45.116802	40	1	2025-08-26_11h22.55.544	stroop task final		2025.1.1	59.98742665	2025-08-26 11h23.01.177269 +0530						
																																																			
Results																																																			
Paired Samples T-Test																																																			
Paired Samples T-Test																																																			
Measure 1				Measure 2		t		df		p																																									
Congruent		-		Incongruent		-1.38		19		0.184																																									
																																																			
Note.  Student's t-test.																																																			
																																																			
Descriptives																																																			
Descriptives																																																			
		N		Mean		SD		SE		Coefficient of variation																																									
Congruent		20		0.533		0.163		0.036		0.305																																									
Incongruent		20		0.607		0.201		0.045		0.331																																									
																																																			
																																																			
Descriptives Plots																																																			
Congruent - Incongruent																																																			
																																																			
																																																			
																																																			
Bar Plots																																																			
Congruent - Incongruent																																																			
