stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,2,10.0,0.03656039998168126,,0.01990379998460412,0.03656039998168126,0.5222611000062898,0.5222611000062898,0.5355091999517754,0.8369440999813378,0.919782699958887,left,-10.0,0,0,0.3892583000124432,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
1,1,12.0,0.938125399989076,,0.9199686999781989,0.938125399989076,1.4201312999939546,1.4201312999939546,1.4533724999637343,1.7207874999730848,1.7551536999526434,right,12.0,1,1,0.32557400001678616,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
2,1,11.0,1.7705791000043973,,1.7555069999652915,1.7705791000043973,2.2705526999779977,2.2705526999779977,2.2705526999779977,2.5701833000057377,2.6042792999651283,right,11.0,1,1,0.3310197999817319,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
3,1,11.0,2.620262599957641,,2.604423799959477,2.620262599957641,3.1043839000049047,3.1043839000049047,3.120126599969808,3.4193625999614596,7.003948099969421,right,11.0,1,1,3.8986198999918997,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
4,1,11.0,7.020656699954998,,7.004132599977311,7.020656699954998,7.503350899962243,7.503350899962243,7.5201428000000305,7.803424799989443,7.920290699985344,right,11.0,1,1,0.4132707000244409,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
5,1,10.0,7.937379199953284,,7.920500699954573,7.937379199953284,8.420027199957985,8.420027199957985,8.436942700005602,8.720309299998917,8.771212999999989,right,10.0,1,1,0.3494427999830805,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
6,1,10.0,8.786997399991378,,8.771386199980043,8.786997399991378,9.270744999987073,9.270744999987073,9.28683810000075,9.571558600000571,9.571864199999254,right,10.0,1,1,0.3004033000324853,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
7,1,10.0,9.586991099989973,,9.571980199951213,9.586991099989973,10.088388999982271,10.088388999982271,10.088388999982271,10.40407269995194,14.370496899995487,right,10.0,1,1,4.269774300046265,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
8,1,9.0,14.387378899962641,,14.37070460000541,14.387378899962641,14.869802799948957,14.869802799948957,14.88665050000418,,15.103510599990841,right,9.0,1,1,0.22940040001412854,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
9,1,9.0,15.119812899967656,,15.103630299970973,15.119812899967656,15.603284899960272,15.603284899960272,15.619759299966972,15.903557399986312,17.120699299965054,left,-9.0,0,0,1.5019560999935493,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
10,1,10.0,17.136493199970573,,17.120868499972858,17.136493199970573,17.620921499968972,17.620921499968972,17.637123699998483,17.936679999984335,18.387997399957385,right,10.0,1,1,0.7615765000227839,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
11,1,10.0,18.40366409998387,,18.38816199998837,18.40366409998387,18.903611099987756,18.903611099987756,18.903611099987756,19.203540299960878,19.471533100004308,right,10.0,1,1,0.5611392999999225,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
12,0.5,10.0,19.486446199996863,,19.471917399961967,19.486446199996863,19.986753000004683,19.986753000004683,19.986753000004683,20.288424299971666,20.554167399997823,right,10.0,1,1,0.5534827999654226,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
13,0.5,9.5,20.57026509998832,,20.55435419996502,20.57026509998832,21.07080559997121,21.07080559997121,21.07080559997121,21.36965039995266,25.920912600005977,left,-9.5,0,0,4.843148599960841,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
14,0.5,10.0,25.936665699991863,,25.921073799952865,25.936665699991863,26.420271099952515,26.420271099952515,26.436248199956026,,26.670257599966135,left,-10.0,0,0,0.236148800002411,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
15,0.5,10.5,26.687092299980577,,26.670402199961245,26.687092299980577,27.169513000000734,27.169513000000734,27.186917699989863,27.470350399962626,27.52178269997239,right,10.5,1,1,0.3404372000368312,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
16,0.5,10.5,27.538424299971666,,27.521988999971654,27.538424299971666,28.036711299966555,28.036711299966555,28.053276099963114,28.33713339996757,28.703823099960573,right,10.5,1,1,0.65794340003049,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
17,0.5,10.5,28.720264000003226,,28.704066999955103,28.720264000003226,29.203160299977753,29.203160299977753,29.219835299998522,29.503541699959897,33.503842599981,right,10.5,0,0,4.286241499998141,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
18,0.5,11.0,33.51989239995601,,33.50400019995868,33.51989239995601,34.003378199995495,34.003378199995495,34.019616100005805,,34.23672089999309,left,-11.0,1,1,0.22683419997338206,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
