thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,up,0,0.24200520000886172,None,4,0,0,0,0,0.01014599995687604,,0.003845199942588806,0.01014599995687604,1.0066667000064626,1.0232320999493822,1.2575563999125734,up,0,0.24200520000886172,None,4,659478,001,2025-09-11_11h50.39.815,untitled,,2025.1.1,59.921323317268126,2025-09-11 11h50.45.972240 +0530,
1,0,1,down,1,1.9464683999540284,None,-4,1,0,1,0,1.2731375999283046,,1.257972199935466,1.2731375999283046,2.2734103999100626,2.2734103999100626,4.223695499938913,down,1,1.9464683999540284,None,-4,659478,001,2025-09-11_11h50.39.815,untitled,,2025.1.1,59.921323317268126,2025-09-11 11h50.45.972240 +0530,
2,0,2,up,1,1.2121873999712989,None,0,2,0,2,0,4.239946899935603,,4.224047699943185,4.239946899935603,5.223590499954298,5.240195099962875,6.440651600016281,up,1,1.2121873999712989,None,0,659478,001,2025-09-11_11h50.39.815,untitled,,2025.1.1,59.921323317268126,2025-09-11 11h50.45.972240 +0530,
3,0,3,up,1,0.06952169991564006,None,0,3,0,3,0,6.456720499903895,,6.4409942999482155,6.456720499903895,7.440129700000398,7.456649699946865,7.5237546999705955,up,1,0.06952169991564006,None,0,659478,001,2025-09-11_11h50.39.815,untitled,,2025.1.1,59.921323317268126,2025-09-11 11h50.45.972240 +0530,
4,0,4,up,0,0.6499022000934929,None,-3,4,0,4,0,7.53989409992937,,7.524127899901941,7.53989409992937,8.523309399955906,8.539917699992657,9.173830999992788,up,0,0.6499022000934929,None,-3,659478,001,2025-09-11_11h50.39.815,untitled,,2025.1.1,59.921323317268126,2025-09-11 11h50.45.972240 +0530,
5,0,5,up,1,0.3013877000194043,None,0,5,0,5,0,9.189902400015853,,9.174196799984202,9.189902400015853,10.173671199940145,10.190051599987783,10.490623699966818,up,1,0.3013877000194043,None,0,659478,001,2025-09-11_11h50.39.815,untitled,,2025.1.1,59.921323317268126,2025-09-11 11h50.45.972240 +0530,
6,0,6,up,1,0.49874910002108663,None,0,6,0,6,0,10.506636900012381,,10.491115399985574,10.506636900012381,11.490384400007315,11.507023699930869,11.990629800013267,up,1,0.49874910002108663,None,0,659478,001,2025-09-11_11h50.39.815,untitled,,2025.1.1,59.921323317268126,2025-09-11 11h50.45.972240 +0530,
7,0,7,down,1,0.24160660000052303,None,-2,7,0,7,0,12.006985799991526,,11.990953699918464,12.006985799991526,12.990292500006035,13.006882000016049,13.240911299944855,down,1,0.24160660000052303,None,-2,659478,001,2025-09-11_11h50.39.815,untitled,,2025.1.1,59.921323317268126,2025-09-11 11h50.45.972240 +0530,
8,0,8,down,0,0.40332089993171394,None,0,8,0,8,0,13.256841799942777,,13.241201299941167,13.256841799942777,14.240303299971856,14.256891199969687,14.65704319998622,down,0,0.40332089993171394,None,0,659478,001,2025-09-11_11h50.39.815,untitled,,2025.1.1,59.921323317268126,2025-09-11 11h50.45.972240 +0530,
9,0,9,down,1,0.9436678999336436,None,-4,9,0,9,0,14.673465100000612,,14.657357699936256,14.673465100000612,15.656617500004359,15.673411199939437,16.607041299925186,down,1,0.9436678999336436,None,-4,659478,001,2025-09-11_11h50.39.815,untitled,,2025.1.1,59.921323317268126,2025-09-11 11h50.45.972240 +0530,
10,0,10,down,0,0.5670845001004636,None,0,10,0,10,0,16.62336540000979,,16.607247399981134,16.62336540000979,17.606979599921033,17.62344569992274,18.190185499959625,down,0,0.5670845001004636,None,0,659478,001,2025-09-11_11h50.39.815,untitled,,2025.1.1,59.921323317268126,2025-09-11 11h50.45.972240 +0530,
11,0,11,down,1,0.5591106000356376,None,-3,11,0,11,0,18.206769999931566,,18.190519899944775,18.206769999931566,19.190135299926624,19.206673400010914,19.75695569999516,down,1,0.5591106000356376,None,-3,659478,001,2025-09-11_11h50.39.815,untitled,,2025.1.1,59.921323317268126,2025-09-11 11h50.45.972240 +0530,
