word,font_color,correct_resp,category
war,red,r,emotional
low,blue,b,emotional
die,pink,p,emotional
mad,yellow,y,emotional
sin,red,r,emotional
sad,blue,b,emotional
mud,pink,p,emotional
ill,yellow,y,emotional
spy,red,r,emotional
shy,blue,b,emotional
pox,pink,p,emotional
mean,yellow,y,emotional
dead,red,r,emotional
kill,blue,b,emotional
fire,pink,p,emotional
hell,yellow,y,emotional
poor,red,r,emotional
evil,blue,b,emotional
slow,pink,p,emotional
hate,yellow,y,emotional
shot,red,r,emotional
pain,blue,b,emotional
risk,pink,p,emotional
fear,yellow,y,emotional
doom,red,r,emotional
loss,blue,b,emotional
hurt,pink,p,emotional
sick,yellow,y,emotional
flow,red,r,emotional
kick,blue,b,emotional
fail,pink,p,emotional
weak,yellow,y,emotional
bomb,red,r,emotional
fool,blue,b,emotional
rape,pink,p,emotional
harm,yellow,y,emotional
ugly,red,r,emotional
lame,blue,b,emotional
