word,font_color,correct_resp,Category
can,red,r,neutral_per
box,blue,b,neutral_per
key,pink,p,neutral_per
ten,yellow,y,neutral_per
bed,red,r,neutral_per
cup,blue,b,neutral_per
sum,pink,p,neutral_per
pot,yellow,y,neutral_per
bud,red,r,neutral_per
pie,blue,b,neutral_per
fur,pink,p,neutral_per
mop,yellow,y,neutral_per
time,red,r,neutral_per
take,blue,b,neutral_per
send,pink,p,neutral_per
call,yellow,y,neutral_per
sold,red,r,neutral_per
type,blue,b,neutral_per
full,pink,p,neutral_per
page,yellow,y,neutral_per
note,red,r,neutral_per
copy,blue,b,neutral_per
head,pink,p,neutral_per
size,yellow,y,neutral_per
road,red,r,neutral_per
door,blue,b,neutral_per
park,pink,p,neutral_per
fair,yellow,y,neutral_per
rock,red,r,neutral_per
ring,blue,b,neutral_per
walk,pink,p,neutral_per
dogs,yellow,y,neutral_per
pull,red,r,neutral_per
shop,blue,b,neutral_per
lady,pink,p,neutral_per
ride,yellow,y,neutral_per
feed,red,r,neutral_per
core,blue,b,neutral_per
