word,font_color,correct_resp,category
can,red,r,neutral_post
box,blue,b,neutral_post
key,pink,p,neutral_post
ten,yellow,y,neutral_post
bed,red,r,neutral_post
cup,blue,b,neutral_post
sum,pink,p,neutral_post
pot,yellow,y,neutral_post
bud,red,r,neutral_post
pie,blue,b,neutral_post
fur,pink,p,neutral_post
mop,yellow,y,neutral_post
time,red,r,neutral_post
take,blue,b,neutral_post
send,pink,p,neutral_post
call,yellow,y,neutral_post
sold,red,r,neutral_post
type,blue,b,neutral_post
full,pink,p,neutral_post
page,yellow,y,neutral_post
note,red,r,neutral_post
copy,blue,b,neutral_post
head,pink,p,neutral_post
size,yellow,y,neutral_post
road,red,r,neutral_post
door,blue,b,neutral_post
park,pink,p,neutral_post
fair,yellow,y,neutral_post
rock,red,r,neutral_post
ring,blue,b,neutral_post
walk,pink,p,neutral_post
dogs ,yellow,y,neutral_post
pull,red,r,neutral_post
shop,blue,b,neutral_post
lady,pink,p,neutral_post
ride,yellow,y,neutral_post
feed,red,r,neutral_post
core,blue,b,neutral_post
