Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Refence,Old_new,text_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,Testtext.started,text_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.text_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,Testtext.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
marble,0,0,0,3.6259259259259258,2.924469199962914,,,,,,,,,,,,0,0,0,3,,,,,0.04590909997932613,,0.03349609998986125,0.04590909997932613,0.04590909997932613,2.973932099994272,3.6259259259259258,2.924469199962914,,,,,,,,,,,,,,,,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
board,1,1,0,2.285185185185185,2.8802137000020593,,,,,,,,,,,,0,1,1,4,,,,,2.989944600034505,,2.977927800035104,2.989944600034505,2.989944600034505,5.874079399975017,2.285185185185185,2.8802137000020593,,,,,,,,,,,,,,,,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
T-shirt,2,2,0,3.351851851851852,1.909492400009185,,,,,,,,,,,,0,2,2,7,,,,,5.889617600012571,,5.881866100011393,5.889617600012571,5.889617600012571,7.807335900026374,3.351851851851852,1.909492400009185,,,,,,,,,,,,,,,,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
Cruise,3,3,0,3.462962962962963,1.83155949995853,,,,,,,,,,,,0,3,3,11,,,,,7.823036200017668,,7.810215899953619,7.823036200017668,7.823036200017668,9.657530499971472,3.462962962962963,1.83155949995853,,,,,,,,,,,,,,,,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
Case,4,4,0,1.5518518518518518,1.6966596000129357,,,,,,,,,,,,0,4,4,10,,,,,9.67300680000335,,9.661391200032085,9.67300680000335,9.67300680000335,11.374184899963439,1.5518518518518518,1.6966596000129357,,,,,,,,,,,,,,,,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
Pastry,5,5,0,3.314814814814815,1.7406629000324756,,,,,,,,,,,,0,5,5,9,,,,,11.39364729996305,,11.384512100019492,11.39364729996305,11.39364729996305,13.140540799940936,3.314814814814815,1.7406629000324756,,,,,,,,,,,,,,,,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
Laptop,6,6,0,1.3888888888888888,1.6108552999794483,,,,,,,,,,,,0,6,6,5,,,,,13.156524099991657,,13.147186300018802,13.156524099991657,13.156524099991657,14.773918999941088,1.3888888888888888,1.6108552999794483,,,,,,,,,,,,,,,,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
Poster,7,7,0,1.488888888888889,1.430690500070341,,,,,,,,,,,,0,7,7,14,,,,,14.789696899941191,,14.777405999950133,14.789696899941191,14.789696899941191,16.223755300045013,1.488888888888889,1.430690500070341,,,,,,,,,,,,,,,,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
mouse,8,8,0,1.488888888888889,1.0491673999931663,,,,,,,,,,,,0,8,8,8,,,,,16.23983600002248,,16.22600549994968,16.23983600002248,16.23983600002248,17.29120460001286,1.488888888888889,1.0491673999931663,,,,,,,,,,,,,,,,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
Chart,9,9,0,4.688888888888889,2.07958330004476,,,,,,,,,,,,0,9,9,6,,,,,17.307074400014244,,17.294971899944358,17.307074400014244,17.307074400014244,19.39075290004257,4.688888888888889,2.07958330004476,,,,,,,,,,,,,,,,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
book,10,10,0,1.651851851851852,2.6480881999013945,,,,,,,,,,,,0,10,10,0,,,,,19.406425099936314,,19.39349459996447,19.406425099936314,19.406425099936314,22.05916179995984,1.651851851851852,2.6480881999013945,,,,,,,,,,,,,,,,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
Keys,11,11,0,1.651851851851852,0.9115771999349818,,,,,,,,,,,,0,11,11,13,,,,,22.07320189999882,,22.064626300008968,22.07320189999882,22.07320189999882,22.990950100007467,1.651851851851852,0.9115771999349818,,,,,,,,,,,,,,,,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
cushion,12,12,0,1.651851851851852,0.829364400007762,,,,,,,,,,,,0,12,12,1,,,,,23.00658010004554,,22.99591669999063,23.00658010004554,23.00658010004554,23.841119599994272,1.651851851851852,0.829364400007762,,,,,,,,,,,,,,,,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
phone,13,13,0,1.651851851851852,0.8471412999788299,,,,,,,,,,,,0,13,13,2,,,,,23.856511099962518,,23.844519200036302,23.856511099962518,23.856511099962518,24.70763179997448,1.651851851851852,0.8471412999788299,,,,,,,,,,,,,,,,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
Police,14,14,0,3.7888888888888888,2.0963288999628276,,,,,,,,,,,,0,14,14,12,,,,,24.72310359997209,,24.712294599972665,24.72310359997209,24.72310359997209,26.824573599966243,3.7888888888888888,2.0963288999628276,,,,,,,,,,,,,,,,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
,0,0,0,,,P_st_r,Poster,Old,pastry,[np.float64(0.08981481481481482)],[np.float64(-0.31666666666666665)],[1],[0],[0],[8.485352599993348],['submit_text'],,,,,0,0,0,9,26.85081730003003,,,,,,,,26.841929299989715,26.85081730003003,26.85081730003003,26.85081730003003,0.017329799942672253,35.32764389994554,pastry,[np.float64(0.08981481481481482)],[np.float64(-0.31666666666666665)],[1],[0],[0],[8.485352599993348],['submit_text'],,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
,1,1,0,,,_o_rd,Board,Old,board,[np.float64(0.07592592592592592)],[np.float64(-0.30462962962962964)],[1],[0],[0],[9.541278499993496],['submit_text'],,,,,0,1,1,10,35.34227569994982,,,,,,,,35.332472900045104,35.34227569994982,35.34227569994982,35.34227569994982,0.004568799980916083,44.874113900004886,board,[np.float64(0.07592592592592592)],[np.float64(-0.30462962962962964)],[1],[0],[0],[9.541278499993496],['submit_text'],,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
,2,2,0,,,_ru_is_,Cruise,Old,cruise,[np.float64(0.07592592592592592)],[np.float64(-0.30462962962962964)],[1],[0],[0],[5.079858900047839],['submit_text'],,,,,0,2,2,6,44.88984229997732,,,,,,,,44.877771400031634,44.88984229997732,44.88984229997732,44.88984229997732,0.003490300034172833,49.95789459999651,cruise,[np.float64(0.07592592592592592)],[np.float64(-0.30462962962962964)],[1],[0],[0],[5.079858900047839],['submit_text'],,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
,3,3,0,,,_a_ble_,Marble,Old,marble,[np.float64(0.07592592592592592)],[np.float64(-0.30462962962962964)],[1],[0],[0],[4.5453074999386445],['submit_text'],,,,,0,3,3,11,49.973240399966016,,,,,,,,49.962803500005975,49.973240399966016,49.973240399966016,49.973240399966016,0.004774100030772388,54.50837659998797,marble,[np.float64(0.07592592592592592)],[np.float64(-0.30462962962962964)],[1],[0],[0],[4.5453074999386445],['submit_text'],,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
,4,4,0,,,_ho_e,Phone,Old,whole,[np.float64(0.07592592592592592)],[np.float64(-0.30462962962962964)],[1],[0],[0],[14.962415200076066],['submit_text'],,,,,0,4,4,12,54.52319079998415,,,,,,,,54.511606900021434,54.52319079998415,54.52319079998415,54.52319079998415,0.0031219000229611993,69.47429459996056,whole,[np.float64(0.07592592592592592)],[np.float64(-0.30462962962962964)],[1],[0],[0],[14.962415200076066],['submit_text'],64.523295699968,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
,5,5,0,,,_ou_se,mouse,Old,mouse,[np.float64(0.07592592592592592)],[np.float64(-0.30462962962962964)],[1],[0],[0],[5.029583499999717],['submit_text'],,,,,0,5,5,3,69.4897415000014,,,,,,,,69.47792630002368,69.4897415000014,69.4897415000014,69.4897415000014,0.0035260000731796026,74.5077811999945,mouse,[np.float64(0.07592592592592592)],[np.float64(-0.30462962962962964)],[1],[0],[0],[5.029583499999717],['submit_text'],,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
,6,6,0,,,c_m_ra,Camera,new,camera,[np.float64(0.07592592592592592)],[np.float64(-0.30462962962962964)],[1],[0],[0],[4.945327800000086],['submit_text'],,,,,0,6,6,19,74.52313230000436,,,,,,,,74.51232720003463,74.52313230000436,74.52313230000436,74.52313230000436,0.004329500021412969,79.45802120002918,camera,[np.float64(0.07592592592592592)],[np.float64(-0.30462962962962964)],[1],[0],[0],[4.945327800000086],['submit_text'],,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
,7,7,0,,,c_s_,Case,Old,case,[np.float64(0.07592592592592592)],[np.float64(-0.30462962962962964)],[1],[0],[0],[3.9621103999670595],['submit_text'],,,,,0,7,7,5,79.47328130004462,,,,,,,,79.46179550001398,79.47328130004462,79.47328130004462,79.47328130004462,0.0035871999571099877,83.42418289999478,case,[np.float64(0.07592592592592592)],[np.float64(-0.30462962962962964)],[1],[0],[0],[3.9621103999670595],['submit_text'],,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
,8,8,0,,,T_hi_r,Tshirt,Old,tshir,[np.float64(0.07592592592592592)],[np.float64(-0.30462962962962964)],[1],[0],[0],[7.028736499953084],['submit_text'],,,,,0,8,8,2,83.44064599997364,,,,,,,,83.42864139995072,83.44064599997364,83.44064599997364,83.44064599997364,0.004328400013037026,90.45774770004209,tshir,[np.float64(0.07592592592592592)],[np.float64(-0.30462962962962964)],[1],[0],[0],[7.028736499953084],['submit_text'],,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
,9,9,0,,,P_li_e,Police,Old,police,[np.float64(0.07592592592592592)],[np.float64(-0.30462962962962964)],[1],[0],[0],[5.379170499974862],['submit_text'],,,,,0,9,9,7,90.47312840004452,,,,,,,,90.46168920001946,90.47312840004452,90.47312840004452,90.47312840004452,0.0038167000748217106,95.84108499996364,police,[np.float64(0.07592592592592592)],[np.float64(-0.30462962962962964)],[1],[0],[0],[5.379170499974862],['submit_text'],,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
,10,10,0,,,c_s_io_,Cushion ,Old,chusion,[np.float64(0.07592592592592592)],[np.float64(-0.30462962962962964)],[1],[0],[0],[6.514260399970226],['submit_text'],,,,,0,10,10,14,95.85659400001168,,,,,,,,95.8436323000351,95.85659400001168,95.85659400001168,95.85659400001168,0.0024651000276207924,102.35818250000011,chusion,[np.float64(0.07592592592592592)],[np.float64(-0.30462962962962964)],[1],[0],[0],[6.514260399970226],['submit_text'],,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
,11,11,0,,,_oo_,Book,Old,book,[np.float64(0.07592592592592592)],[np.float64(-0.30462962962962964)],[1],[0],[0],[3.897280600038357],['submit_text'],,,,,0,11,11,13,102.3732175999321,,,,,,,,102.36076970002614,102.3732175999321,102.3732175999321,102.3732175999321,0.0024474000092595816,106.25854379998054,book,[np.float64(0.07592592592592592)],[np.float64(-0.30462962962962964)],[1],[0],[0],[3.897280600038357],['submit_text'],,p1,001,2025-10-10_23h11.09.626,word priming,,2025.1.1,60.00625264325103,2025-10-10 23h11.19.539968 +0530,
