thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.10555555555555556)],[np.float64(-0.175)],[1],[0],[0],[1.8080082000233233],['target'],0,0,0,0,0.03692170022986829,,5,0.026808000169694424,0.03692170022986829,0.03692170022986829,0.026826899964362383,1.8348685000091791,[np.float64(0.10555555555555556)],[np.float64(-0.175)],[1],[0],[0],[1.8080082000233233],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
1,0,1,[np.float64(-0.05277777777777778)],[np.float64(0.4287037037037037)],[1],[0],[0],[2.840233099879697],['target'],1,0,1,0,1.8499486001674086,,5,1.844337300164625,1.8499486001674086,1.8499486001674086,0.009353799978271127,4.684668300207704,[np.float64(-0.05277777777777778)],[np.float64(0.4287037037037037)],[1],[0],[0],[2.840233099879697],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
2,0,2,[np.float64(0.39444444444444443)],[np.float64(0.2175925925925926)],[1],[0],[0],[1.8090780000202358],['target'],2,0,2,0,4.717733100056648,,10,4.709627600153908,4.717733100056648,4.717733100056648,0.02476230007596314,6.518840300152078,[np.float64(0.39444444444444443)],[np.float64(0.2175925925925926)],[1],[0],[0],[1.8090780000202358],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
3,0,3,[np.float64(-0.030555555555555555)],[np.float64(0.3055555555555556)],[1],[0],[0],[1.4671610000077635],['target'],3,0,3,0,6.587581100175157,,10,6.567500600125641,6.587581100175157,6.587581100175157,0.04839479993097484,8.03469350002706,[np.float64(-0.030555555555555555)],[np.float64(0.3055555555555556)],[1],[0],[0],[1.4671610000077635],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
4,0,4,[np.float64(-0.11944444444444445)],[np.float64(0.24444444444444444)],[1],[0],[0],[1.3803395999129862],['target'],4,0,4,0,8.065051500219852,,10,8.054721100023016,8.065051500219852,8.065051500219852,0.01992459991015494,9.435139500070363,[np.float64(-0.11944444444444445)],[np.float64(0.24444444444444444)],[1],[0],[0],[1.3803395999129862],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
5,0,5,[np.float64(0.23796296296296296)],[np.float64(-0.3962962962962963)],[1],[0],[0],[2.4462423999793828],['target'],5,0,5,0,9.46252190019004,,5,9.455223900033161,9.46252190019004,9.46252190019004,0.01984780002385378,11.901522400090471,[np.float64(0.23796296296296296)],[np.float64(-0.3962962962962963)],[1],[0],[0],[2.4462423999793828],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
6,0,6,[np.float64(0.10185185185185185)],[np.float64(0.4)],[1],[0],[0],[2.1974225000012666],['target'],6,0,6,0,11.995278800139204,,10,11.987540500005707,11.995278800139204,11.995278800139204,0.08589150011539459,14.185078000184149,[np.float64(0.10185185185185185)],[np.float64(0.4)],[1],[0],[0],[2.1974225000012666],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
7,0,7,[np.float64(-0.017592592592592594)],[np.float64(0.32407407407407407)],[1],[0],[0],[1.727152599953115],['target'],7,0,7,0,14.21412180014886,,5,14.208085800055414,14.21412180014886,14.21412180014886,0.02267750003375113,15.935389200225472,[np.float64(-0.017592592592592594)],[np.float64(0.32407407407407407)],[1],[0],[0],[1.727152599953115],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
8,0,8,[np.float64(-0.3731481481481482)],[np.float64(-0.11018518518518519)],[1],[0],[0],[2.762217399897054],['target'],8,0,8,0,15.962543700123206,,5,15.955617400119081,15.962543700123206,15.962543700123206,0.019863400142639875,18.717902900185436,[np.float64(-0.3731481481481482)],[np.float64(-0.11018518518518519)],[1],[0],[0],[2.762217399897054],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
9,0,9,[np.float64(-0.06851851851851852)],[np.float64(-0.35555555555555557)],[1],[0],[0],[1.9078798000700772],['target'],9,0,9,0,18.750470800092444,,10,18.74339840002358,18.750470800092444,18.750470800092444,0.02531030005775392,20.651362500153482,[np.float64(-0.06851851851851852)],[np.float64(-0.35555555555555557)],[1],[0],[0],[1.9078798000700772],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
