word,font_color,correct_resp,Category,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,category,neutral_pre.thisRepN,neutral_pre.thisTrialN,neutral_pre.thisN,neutral_pre.thisIndex,emotional.thisRepN,emotional.thisTrialN,emotional.thisN,emotional.thisIndex,neutral_post.thisRepN,neutral_post.thisTrialN,neutral_post.thisN,neutral_post.thisIndex,thisRow.t,notes,instruction.started,instructions_1.started,key_resp_2.started,instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,word_stim.started,key_resp.started,fixation.stopped,trial.stopped,neutral_pre.key_resp.keys,neutral_pre.key_resp.corr,neutral_pre.key_resp.rt,neutral_pre.key_resp.duration,instruction2.started,text_2.started,key_resp_3.started,instruction2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,emotional.key_resp.keys,emotional.key_resp.corr,emotional.key_resp.rt,emotional.key_resp.duration,instructions3.started,text_3.started,key_resp_4.started,instructions3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,neutral_post.key_resp.keys,neutral_post.key_resp.corr,neutral_post.key_resp.rt,neutral_post.key_resp.duration,end_2.started,text.started,key_resp_5.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016516999749001116,0.005855999974301085,0.005855999974301085,25.829253699979745,space,25.802903700008756,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p4,001,2025-11-20_11h31.52.916,emotional stroop,,2025.1.1,59.89989529282597,2025-11-20 11h32.00.974384 +0530,
lady,pink,p,neutral_per,0,0,0,p,1,2.2573622000054456,None,,0,0,0,34,,,,,,,,,25.857750700000906,,,,,,,,,25.853149199974723,25.857750700000906,26.834029399993597,26.834029399993597,26.867545199987944,29.10137799999211,p,1,2.2573622000054456,None,,,,,,,,,,,,,,,,,,,,,,,,,,p4,001,2025-11-20_11h31.52.916,emotional stroop,,2025.1.1,59.89989529282597,2025-11-20 11h32.00.974384 +0530,
pull,red,r,neutral_per,1,1,0,r,1,1.8573496000026353,None,,0,1,1,32,,,,,,,,,29.117545899993274,,,,,,,,,29.1055680999998,29.117545899993274,30.10091549999197,30.10091549999197,30.117402099975152,31.96784969998407,r,1,1.8573496000026353,None,,,,,,,,,,,,,,,,,,,,,,,,,,p4,001,2025-11-20_11h31.52.916,emotional stroop,,2025.1.1,59.89989529282597,2025-11-20 11h32.00.974384 +0530,
fur,pink,p,neutral_per,2,2,0,p,1,0.8329707000229973,None,,0,2,2,10,,,,,,,,,31.984023299999535,,,,,,,,,31.970305599999847,31.984023299999535,32.967400699999416,32.967400699999416,32.98415059997933,33.80234559997916,p,1,0.8329707000229973,None,,,,,,,,,,,,,,,,,,,,,,,,,,p4,001,2025-11-20_11h31.52.916,emotional stroop,,2025.1.1,59.89989529282597,2025-11-20 11h32.00.974384 +0530,
bed,red,r,neutral_per,3,3,0,r,1,0.816464100003941,None,,0,3,3,4,,,,,,,,,33.817733699979726,,,,,,,,,33.80689249999705,33.817733699979726,34.81760199999553,34.81760199999553,34.81760199999553,35.71183369998471,r,1,0.816464100003941,None,,,,,,,,,,,,,,,,,,,,,,,,,,p4,001,2025-11-20_11h31.52.916,emotional stroop,,2025.1.1,59.89989529282597,2025-11-20 11h32.00.974384 +0530,
can,red,r,neutral_per,4,4,0,r,1,0.8679450999770779,None,,0,4,4,0,,,,,,,,,35.721015599992825,,,,,,,,,35.715273499983596,35.721015599992825,36.719507999980124,36.719507999980124,36.719507999980124,37.588323399977526,r,1,0.8679450999770779,None,,,,,,,,,,,,,,,,,,,,,,,,,,p4,001,2025-11-20_11h31.52.916,emotional stroop,,2025.1.1,59.89989529282597,2025-11-20 11h32.00.974384 +0530,
call,yellow,y,neutral_per,5,5,0,y,1,1.4072868000075687,None,,0,5,5,15,,,,,,,,,37.60327199997846,,,,,,,,,37.5943848999741,37.60327199997846,38.60065310000209,38.60065310000209,38.61736699999892,40.017950699984794,y,1,1.4072868000075687,None,,,,,,,,,,,,,,,,,,,,,,,,,,p4,001,2025-11-20_11h31.52.916,emotional stroop,,2025.1.1,59.89989529282597,2025-11-20 11h32.00.974384 +0530,
type,blue,b,neutral_per,6,6,0,b,1,1.4060574999894015,None,,0,6,6,17,,,,,,,,,40.0342163000023,,,,,,,,,40.022570799977984,40.0342163000023,41.017393299989635,41.017393299989635,41.03409760000068,42.43473479998647,b,1,1.4060574999894015,None,,,,,,,,,,,,,,,,,,,,,,,,,,p4,001,2025-11-20_11h31.52.916,emotional stroop,,2025.1.1,59.89989529282597,2025-11-20 11h32.00.974384 +0530,
rock,red,r,neutral_per,7,7,0,r,1,0.8170857999939471,None,,0,7,7,28,,,,,,,,,42.45087979998789,,,,,,,,,42.44098829998984,42.45087979998789,43.43456719999085,43.43456719999085,43.45111249998445,44.26879549998557,r,1,0.8170857999939471,None,,,,,,,,,,,,,,,,,,,,,,,,,,p4,001,2025-11-20_11h31.52.916,emotional stroop,,2025.1.1,59.89989529282597,2025-11-20 11h32.00.974384 +0530,
sum,pink,p,neutral_per,8,8,0,p,1,1.0168151000107173,None,,0,8,8,6,,,,,,,,,44.28473439998925,,,,,,,,,44.275113199983025,44.28473439998925,45.284067000000505,45.284067000000505,45.284067000000505,46.317574799992144,p,1,1.0168151000107173,None,,,,,,,,,,,,,,,,,,,,,,,,,,p4,001,2025-11-20_11h31.52.916,emotional stroop,,2025.1.1,59.89989529282597,2025-11-20 11h32.00.974384 +0530,
