thisN	key_resp.corr	key_resp.rt		seq	random 
0	1	1.1913928		1.1913928	1.5523636
1	1	0.859277		0.859277	1.6687498
2	1	0.5073616		0.5073616	0.5614099
3	1	0.3983305		0.3983305	0.6330143
4	1	2.1974347		2.1974347	0.9612552
5	1	0.580087		0.580087	1.4289239
6	1	0.8315586		0.8315586	0.8019383
7	1	0.5239294		0.5239294	0.9790983
8	1	0.3655684		0.3655684	0.8070161
9	1	0.5485618		0.5485618	0.6789921
10	1	0.3952582		0.3952582	0.8341247
11	1	0.5276582		0.5276582	1.1482287
12	1	0.5344338		0.5344338	1.1851854
13	1	0.4690217		0.4690217	1.0259348
14	1	0.6660508		0.6660508	0.9714135
15	1	0.5965749		0.5965749	1.1187931
16	1	0.6224849		0.6224849	1.0385083
17	1	0.4398021		0.4398021	0.9002515
18	1	0.4520659		0.4520659	1.6812716
19	1	0.6375019		0.6375019	0.5377225
20	1	0.4414106		0.4414106	1.0174664
21	1	0.6973037		0.6973037	0.5842819
22	1	0.5102766		0.5102766	0.7873076
23	1	0.5348774		0.5348774	0.8932769
24	1	0.6095491		0.6095491	1.0720721
25	1	1.308649		1.308649	0.8497584
26	1	0.5692726		0.5692726	0.7329668
27	1	0.5488346		0.5488346	0.9034336
28	1	0.2967728		0.2967728	0.785711
29	1	0.5156871		0.5156871	0.8446545
30	1	0.5083432		0.5083432	1.0314841
31	1	0.3890129		0.3890129	0.8626039
32	1	0.4591262		0.4591262	1.8255189
33	1	0.6841319		0.6841319	0.9409549
34	1	0.5638485		0.5638485	0.7658626
35	1	0.5633124		0.5633124	2.2976217
36	1	0.3563888		0.3563888	1.1710767
37	1	0.4759809		0.4759809	1.1202898
38	1	0.3560522		0.3560522	1.0606911
39	1	0.5001928		0.5001928	1.6898591
40	1	1.1273258		1.1273258	0.5862851
41	1	1.0616679		1.0616679	0.6943702
42	1	0.7679135		0.7679135	0.8352219
43	1	0.3624172		0.3624172	0.7758445
44	1	0.4512259		0.4512259	3.192156
45	1	0.5350374		0.5350374	0.5523153
46	1	0.4465142		0.4465142	0.9843355
47	1	0.427384		0.427384	0.7057018
48	1	0.550537		0.550537	1.0715876
49	1	0.3943835		0.3943835	1.0214876
50	1	0.4719517		0.4719517	0.7736131
51	1	0.5622037		0.5622037	0.5887192
52	1	0.4981493		0.4981493	0.9023007
53	1	0.8112448		0.8112448	0.7731378
54	1	1.2907587		1.2907587	0.7031602
55	1	0.7037112		0.7037112	0.6407692
56	1	0.5450605		0.5450605	0.7450157
57	1	0.9238831		0.9238831	0.8924986
58	1	0.3956865		0.3956865	0.9337078
59	1	0.4329157		0.4329157	0.789814
60	1	0.5169557		0.5169557	0.8938795
61	1	0.4042951		0.4042951	1.1886484
62	1	0.395013		0.395013	0.935951
63	1	0.5462991		0.5462991	0.8295277
64	1	0.6952344		0.6952344	0.461489
65	1	0.7461969		0.7461969	0.711868
66	1	0.4633434		0.4633434	0.8376065
67	1	0.524661		0.524661	1.1254372
68	1	0.7313467		0.7313467	0.8787424
69	1	0.5729363		0.5729363	0.8458625
70	1	0.4340016		0.4340016	1.114688
71	1	0.3873677		0.3873677	0.7874339
72	1	0.4742648		0.4742648	0.6342123
73	1	1.0809101		1.0809101	1.6788608
74	1	0.4903518		0.4903518	1.3549084
75	1	0.6583702		0.6583702	1.0890758
76	1	0.5047646		0.5047646	0.8490508
77	1	1.1300732		1.1300732	0.7456982
78	1	1.0190631		1.0190631	1.2385861
79	1	1.2225319		1.2225319	0.7599045
80	1	0.8753613		0.8753613	1.5070648
81	1	0.6384909		0.6384909	0.6113616
82	1	0.58593		0.58593	0.8932582
83	1	0.9686374		0.9686374	0.5390483
84	1	0.6420825		0.6420825	0.8910006
85	1	0.7308773		0.7308773	0.7671366
86	1	0.600597		0.600597	1.0497033
87	1	0.9799363		0.9799363	0.629417
88	1	0.4694958		0.4694958	0.5802841
89	1	0.5547213		0.5547213	0.9157236
90	1	0.6534314		0.6534314	1.1489614
91	1	0.8893515		0.8893515	1.032288
92	1	0.8170522		0.8170522	0.8101943
93	1	0.6319132		0.6319132	0.7811258
94	1	0.3672211		0.3672211	0.8376229
95	1	0.4176318		0.4176318	0.9017457
96	1	0.4544632		0.4544632	0.6704189
97	1	0.3875889		0.3875889	0.8549747
98	1	0.387973		0.387973	0.9463096
99	1	0.9396691		0.9396691	0.6968701
100	1	0.4271704		0.4271704	0.6146858
101	1	0.9025754		0.9025754	0.8564829
102	1	0.5164587		0.5164587	0.9888321
103	1	0.4813483		0.4813483	0.8543829
104	1	1.0642731		1.0642731	1.1262487
105	1	1.4000427		1.4000427	0.777657
106	1	1.4128028		1.4128028	0.71757
107	1	1.7156028		1.7156028	0.8064925
108	1	1.206983		1.206983	0.7608422
109	1	1.231029		1.231029	0.6522546
110	1	1.1544999		1.1544999	0.8496803
111	1	1.0400482		1.0400482	1.2843281
112	1	1.1127963		1.1127963	0.6646543
113	1	1.2403986		1.2403986	0.7672397
114	1	1.5471024		1.5471024	0.9799982
