word,font_color,correct_resp,Category,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,category,neutral_pre.thisRepN,neutral_pre.thisTrialN,neutral_pre.thisN,neutral_pre.thisIndex,emotional.thisRepN,emotional.thisTrialN,emotional.thisN,emotional.thisIndex,neutral_post.thisRepN,neutral_post.thisTrialN,neutral_post.thisN,neutral_post.thisIndex,thisRow.t,notes,instruction.started,instructions_1.started,key_resp_2.started,instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,word_stim.started,key_resp.started,fixation.stopped,trial.stopped,neutral_pre.key_resp.keys,neutral_pre.key_resp.corr,neutral_pre.key_resp.rt,neutral_pre.key_resp.duration,instruction2.started,text_2.started,key_resp_3.started,instruction2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,emotional.key_resp.keys,emotional.key_resp.corr,emotional.key_resp.rt,emotional.key_resp.duration,instructions3.started,text_3.started,key_resp_4.started,instructions3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,neutral_post.key_resp.keys,neutral_post.key_resp.corr,neutral_post.key_resp.rt,neutral_post.key_resp.duration,end_2.started,text.started,key_resp_5.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016608000150881708,0.0050697000115178525,0.0050697000115178525,38.83809590002056,space,38.80024149999372,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pp2,001,2025-11-20_12h58.44.540,emotional stroop,,2025.1.1,59.90617495268054,2025-11-20 12h58.54.473858 +0530,
dogs,yellow,y,neutral_per,0,0,0,y,1,1.1580756999901496,None,,0,0,0,31,,,,,,,,,38.89011810001102,,,,,,,,,38.88502210000297,38.89011810001102,39.83840780000901,39.83840780000901,39.90497430000687,41.00566900000558,y,1,1.1580756999901496,None,,,,,,,,,,,,,,,,,,,,,,,,,,pp2,001,2025-11-20_12h58.44.540,emotional stroop,,2025.1.1,59.90617495268054,2025-11-20 12h58.54.473858 +0530,
note,red,r,neutral_per,1,1,0,r,1,1.4938057000108529,None,,0,1,1,20,,,,,,,,,41.022041200019885,,,,,,,,,41.00946830000612,41.022041200019885,42.00516110000899,42.00516110000899,42.02196880002157,43.5058286000276,r,1,1.4938057000108529,None,,,,,,,,,,,,,,,,,,,,,,,,,,pp2,001,2025-11-20_12h58.44.540,emotional stroop,,2025.1.1,59.90617495268054,2025-11-20 12h58.54.473858 +0530,
rock,red,r,neutral_per,2,2,0,r,1,1.0772256999916863,None,,0,2,2,28,,,,,,,,,43.52198520000093,,,,,,,,,43.5084720000159,43.52198520000093,44.50503110000864,44.50503110000864,44.521550600009505,45.589275600010296,r,1,1.0772256999916863,None,,,,,,,,,,,,,,,,,,,,,,,,,,pp2,001,2025-11-20_12h58.44.540,emotional stroop,,2025.1.1,59.90617495268054,2025-11-20 12h58.54.473858 +0530,
park,pink,p,neutral_per,3,3,0,p,1,0.876632100000279,None,,0,3,3,26,,,,,,,,,45.605231500027,,,,,,,,,45.59280640000361,45.605231500027,46.5885804000136,46.5885804000136,46.60499200000777,47.471978900022805,p,1,0.876632100000279,None,,,,,,,,,,,,,,,,,,,,,,,,,,pp2,001,2025-11-20_12h58.44.540,emotional stroop,,2025.1.1,59.90617495268054,2025-11-20 12h58.54.473858 +0530,
full,pink,p,neutral_per,4,4,0,p,1,0.7053318000107538,None,,0,4,4,18,,,,,,,,,47.48879060000763,,,,,,,,,47.47444830002496,47.48879060000763,48.4717595000111,48.4717595000111,48.488406000018585,49.18877870001597,p,1,0.7053318000107538,None,,,,,,,,,,,,,,,,,,,,,,,,,,pp2,001,2025-11-20_12h58.44.540,emotional stroop,,2025.1.1,59.90617495268054,2025-11-20 12h58.54.473858 +0530,
ten,yellow,y,neutral_per,5,5,0,y,1,1.0275096999830566,None,,0,5,5,3,,,,,,,,,49.20506600002409,,,,,,,,,49.19178660001489,49.20506600002409,50.188603100017644,50.188603100017644,50.20534090002184,51.22246110002743,y,1,1.0275096999830566,None,,,,,,,,,,,,,,,,,,,,,,,,,,pp2,001,2025-11-20_12h58.44.540,emotional stroop,,2025.1.1,59.90617495268054,2025-11-20 12h58.54.473858 +0530,
size,yellow,y,neutral_per,6,6,0,y,1,0.8792056000092998,None,,0,6,6,23,,,,,,,,,51.238486000016565,,,,,,,,,51.232228000008035,51.238486000016565,52.22177120001288,52.22177120001288,52.23818460002076,53.105618100002175,y,1,0.8792056000092998,None,,,,,,,,,,,,,,,,,,,,,,,,,,pp2,001,2025-11-20_12h58.44.540,emotional stroop,,2025.1.1,59.90617495268054,2025-11-20 12h58.54.473858 +0530,
pot,yellow,y,neutral_per,7,7,0,y,1,0.7177188000059687,None,,0,7,7,7,,,,,,,,,53.121837500017136,,,,,,,,,53.109121700021205,53.121837500017136,54.10517870000331,54.10517870000331,54.12166020000586,54.83908170001814,y,1,0.7177188000059687,None,,,,,,,,,,,,,,,,,,,,,,,,,,pp2,001,2025-11-20_12h58.44.540,emotional stroop,,2025.1.1,59.90617495268054,2025-11-20 12h58.54.473858 +0530,
lady,pink,p,neutral_per,8,8,0,p,1,1.0004334999830462,None,,0,8,8,34,,,,,,,,,54.85504810002749,,,,,,,,,54.843474400026025,54.85504810002749,55.838477100012824,55.838477100012824,55.85509660001844,56.85578550002538,p,1,1.0004334999830462,None,,,,,,,,,,,,,,,,,,,,,,,,,,pp2,001,2025-11-20_12h58.44.540,emotional stroop,,2025.1.1,59.90617495268054,2025-11-20 12h58.54.473858 +0530,
