pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,1.1568831000040518,None,0,0,0,0,,,,,0.022866599989356473,,0.017616499986615963,0.022866599989356473,1.0068951999855926,1.0068951999855926,1.0068951999855926,1.0068951999855926,1.0234935999906156,2.007006099986029,2.007006099986029,3.2995935999933863,x,1,1.1568831000040518,None,,,,,pp4,001,2025-10-02_15h49.13.007,motor sequence,,2025.1.1,60.06680630369661,2025-10-02 15h49.22.707257 +0530,
150,v,1,1,0,v,1,0.5164851000008639,None,0,1,1,1,,,,,3.3022301999881165,,3.299965099999099,3.3022301999881165,4.307152399996994,4.307152399996994,4.307152399996994,4.307152399996994,4.307152399996994,5.306846999999834,5.306846999999834,5.8245080999913625,v,1,0.5164851000008639,None,,,,,pp4,001,2025-10-02_15h49.13.007,motor sequence,,2025.1.1,60.06680630369661,2025-10-02 15h49.22.707257 +0530,
50,c,2,2,0,c,1,0.4307439000112936,None,0,2,2,2,,,,,5.84033599999384,,5.825181899999734,5.84033599999384,6.8237173999950755,6.8237173999950755,6.8237173999950755,6.8237173999950755,6.840480199985905,7.823667299991939,7.823667299991939,8.257448099990143,c,1,0.4307439000112936,None,,,,,pp4,001,2025-10-02_15h49.13.007,motor sequence,,2025.1.1,60.06680630369661,2025-10-02 15h49.22.707257 +0530,
-150,z,3,3,0,z,1,0.46974510001018643,None,0,3,3,3,,,,,8.27371479998692,,8.257754799997201,8.27371479998692,9.257130499987397,9.257130499987397,9.257130499987397,9.257130499987397,9.273718099997495,10.256950399998459,10.256950399998459,10.740924799989443,z,1,0.46974510001018643,None,,,,,pp4,001,2025-10-02_15h49.13.007,motor sequence,,2025.1.1,60.06680630369661,2025-10-02 15h49.22.707257 +0530,
-50,x,4,0,1,x,1,0.7092444000008982,None,1,0,4,0,,,,,10.757210299998405,,10.741207199986093,10.757210299998405,11.740285799998674,11.740285799998674,11.740285799998674,11.740285799998674,11.757149399985792,12.740444399998523,12.740444399998523,13.458495699989726,x,1,0.7092444000008982,None,,,,,pp4,001,2025-10-02_15h49.13.007,motor sequence,,2025.1.1,60.06680630369661,2025-10-02 15h49.22.707257 +0530,
150,v,5,1,1,v,1,0.6542712000082247,None,1,1,5,1,,,,,13.473762099994929,,13.458958899995196,13.473762099994929,14.473648299986962,14.473648299986962,14.473648299986962,14.473648299986962,14.473648299986962,15.473641099990346,15.473641099990346,16.140960399992764,v,1,0.6542712000082247,None,,,,,pp4,001,2025-10-02_15h49.13.007,motor sequence,,2025.1.1,60.06680630369661,2025-10-02 15h49.22.707257 +0530,
50,c,6,2,1,c,1,0.4598986000055447,None,1,2,6,2,,,,,16.1569513999857,,16.14157379999233,16.1569513999857,17.14087189998827,17.14087189998827,17.14087189998827,17.14087189998827,17.15710629998648,18.14043829998991,18.14043829998991,18.607622499999707,c,1,0.4598986000055447,None,,,,,pp4,001,2025-10-02_15h49.13.007,motor sequence,,2025.1.1,60.06680630369661,2025-10-02 15h49.22.707257 +0530,
-150,z,7,3,1,z,1,0.6202303000027314,None,1,3,7,3,,,,,18.623386799998116,,18.608146599988686,18.623386799998116,19.606929599991417,19.606929599991417,19.606929599991417,19.606929599991417,19.623424599994905,20.607124899994233,20.607124899994233,21.24150419999205,z,1,0.6202303000027314,None,,,,,pp4,001,2025-10-02_15h49.13.007,motor sequence,,2025.1.1,60.06680630369661,2025-10-02 15h49.22.707257 +0530,
-50,x,8,0,2,x,1,0.45983539998997003,None,2,0,8,0,,,,,21.257071799991536,,21.241834299988113,21.257071799991536,22.298225399994408,22.298225399994408,22.298225399994408,22.298225399994408,22.29994729999453,23.257347299993853,23.257347299993853,23.724693399999524,x,1,0.45983539998997003,None,,,,,pp4,001,2025-10-02_15h49.13.007,motor sequence,,2025.1.1,60.06680630369661,2025-10-02 15h49.22.707257 +0530,
150,v,9,1,2,v,1,0.5440887000004295,None,2,1,9,1,,,,,23.740477099985583,,23.724951399999554,23.740477099985583,24.740311699992162,24.740311699992162,24.740311699992162,24.740311699992162,24.740311699992162,25.723835299999337,25.723835299999337,26.274686799995834,v,1,0.5440887000004295,None,,,,,pp4,001,2025-10-02_15h49.13.007,motor sequence,,2025.1.1,60.06680630369661,2025-10-02 15h49.22.707257 +0530,
50,c,10,2,2,c,1,0.4705602000030922,None,2,2,10,2,,,,,26.290447999999742,,26.27516029999242,26.290447999999742,27.290011899996898,27.290011899996898,27.290011899996898,27.290011899996898,27.290011899996898,28.290352799987886,28.290352799987886,28.774357899994357,c,1,0.4705602000030922,None,,,,,pp4,001,2025-10-02_15h49.13.007,motor sequence,,2025.1.1,60.06680630369661,2025-10-02 15h49.22.707257 +0530,
-150,z,11,3,2,z,1,0.5147885000042152,None,2,3,11,3,,,,,28.790455099995597,,28.774739499989664,28.790455099995597,29.77367029999732,29.77367029999732,29.77367029999732,29.77367029999732,29.790363799998886,30.773621799991815,30.773621799991815,31.290909999996074,z,1,0.5147885000042152,None,,,,,pp4,001,2025-10-02_15h49.13.007,motor sequence,,2025.1.1,60.06680630369661,2025-10-02 15h49.22.707257 +0530,
-50,x,12,0,3,x,1,0.47526330000255257,None,3,0,12,0,,,,,31.30719969999336,,31.291318299990962,31.30719969999336,32.29031209999812,32.29031209999812,32.29031209999812,32.29031209999812,32.307245199990575,33.29052049999882,33.29052049999882,33.77466079998703,x,1,0.47526330000255257,None,,,,,pp4,001,2025-10-02_15h49.13.007,motor sequence,,2025.1.1,60.06680630369661,2025-10-02 15h49.22.707257 +0530,
